Country Name,departures
Aruba,
Afghanistan,
Angola,
Albania,5415000
Andorra,
Arab World,
United Arab Emirates,18904000
Argentina,11130000
Armenia,1623000
American Samoa,
Antigua and Barbuda,
Australia,11403000
Austria,11883000
Azerbaijan,3919000
Burundi,
Belgium,13098000
Benin,
Burkina Faso,
Bangladesh,
Bulgaria,6699000
Bahrain,2868000
"Bahamas, The",
Bosnia and Herzegovina,
Belarus,836000
Belize,
Bermuda,
Bolivia,1060000
Brazil,10628000
Barbados,
Brunei Darussalam,
Bhutan,
Botswana,
Central African Republic,
Canada,26033000
Central Europe and the Baltics,71717080.46
Switzerland,15285000
Channel Islands,
Chile,3825000
China,149720000
Cote d'Ivoire,
Cameroon,
"Congo, Dem. Rep.",
"Congo, Rep.",
Colombia,4368000
Comoros,
Cabo Verde,
Costa Rica,1079000
Caribbean small states,
Cuba,
Curacao,
Cayman Islands,
Cyprus,1446000
Czech Republic,7390000
Germany,108542000
Djibouti,
Dominica,
Denmark,7475000
Dominican Republic,514000
Algeria,5610000
East Asia & Pacific (excluding high income),207839138.2
Early-demographic dividend,201926668.2
East Asia & Pacific,415030422.1
Europe & Central Asia (excluding high income),163839446.9
Europe & Central Asia,618355680.4
Ecuador,1402000
"Egypt, Arab Rep.",
Euro area,288060184.2
Eritrea,
Spain,19116000
Estonia,2069000
Ethiopia,
European Union,445066190.3
Fragile and conflict affected situations,
Finland,9450000
Fiji,174000
France,26914000
Faroe Islands,
"Micronesia, Fed. Sts.",
Gabon,
United Kingdom,70386000
Georgia,3698000
Ghana,
Gibraltar,
Guinea,
"Gambia, The",
Guinea-Bissau,
Equatorial Guinea,
Greece,7961000
Grenada,
Greenland,
Guatemala,1227000
Guam,
Guyana,
High income,792607913.8
"Hong Kong SAR, China",92214000
Honduras,
Heavily indebted poor countries (HIPC),
Croatia,2058000
Haiti,
Hungary,8649000
IBRD only,478254159.2
IDA & IBRD total,625518081.9
IDA total,
IDA blend,
Indonesia,9468000
IDA only,
Isle of Man,
India,26296000
Not classified,
Ireland,8643000
"Iran, Islamic Rep.",7243000
Iraq,
Iceland,668000
Israel,8473000
Italy,33347100
Jamaica,
Jordan,1501000
Japan,18954000
Kazakhstan,
Kenya,
Kyrgyz Republic,6839000
Cambodia,1995000
Kiribati,
St. Kitts and Nevis,
"Korea, Rep.",28696000
Kuwait,
Latin America & Caribbean (excluding high income),62036469.82
Lao PDR,3207000
Lebanon,
Liberia,
Libya,
St. Lucia,
Latin America & Caribbean,70174053.94
Least developed countries: UN classification,
Low income,
Liechtenstein,
Sri Lanka,1476000
Lower middle income,146279623.5
Low & middle income,602703328.8
Lesotho,
Late-demographic dividend,350106877.2
Lithuania,2244000
Luxembourg,1989000
Latvia,1368000
"Macao SAR, China",1579000
St. Martin (French part),
Morocco,1923000
Monaco,
Moldova,264000
Madagascar,
Maldives,
Middle East & North Africa,
Mexico,19748000
Marshall Islands,
Middle income,538149694.3
North Macedonia,
Mali,
Malta,667000
Myanmar,
Middle East & North Africa (excluding high income),
Montenegro,
Mongolia,
Northern Mariana Islands,
Mozambique,
Mauritania,
Mauritius,296000
Malawi,
Malaysia,
North America,118619494.4
Namibia,
New Caledonia,139000
Niger,
Nigeria,
Nicaragua,974000
Netherlands,22115000
Norway,8110000
Nepal,
Nauru,
New Zealand,3038000
OECD members,654290776.1
Oman,3350000
Other small states,
Pakistan,
Panama,681000
Peru,3078000
Philippines,
Palau,
Papua New Guinea,
Poland,12800000
Pre-demographic dividend,
Puerto Rico,
"Korea, Dem. People’s Rep.",
Portugal,2486000
Paraguay,1266000
West Bank and Gaza,
Pacific island small states,
Post-demographic dividend,730981567.1
French Polynesia,47000
Qatar,
Romania,21039000
Russian Federation,41964000
Rwanda,
South Asia,35959133.49
Saudi Arabia,21866000
Sudan,
Senegal,
Singapore,9889000
Solomon Islands,
Sierra Leone,112000
El Salvador,1260000
San Marino,
Somalia,
Serbia,
Sub-Saharan Africa (excluding high income),
South Sudan,
Sub-Saharan Africa,
Small states,
Sao Tome and Principe,
Suriname,
Slovak Republic,
Slovenia,3188000
Sweden,
Eswatini,1717000
Sint Maarten (Dutch part),
Seychelles,72000
Syrian Arab Republic,
Turks and Caicos Islands,
Chad,
East Asia & Pacific (IDA & IBRD countries),205242442.9
Europe & Central Asia (IDA & IBRD countries),178269340.6
Togo,
Thailand,9966000
Tajikistan,31000
Turkmenistan,
Latin America & the Caribbean (IDA & IBRD countries),68127212.21
Timor-Leste,
Middle East & North Africa (IDA & IBRD countries),
Tonga,
South Asia (IDA & IBRD),35959133.49
Sub-Saharan Africa (IDA & IBRD countries),
Trinidad and Tobago,
Tunisia,2515000
Turkey,8383000
Tuvalu,
Tanzania,
Uganda,
Ukraine,27811000
Upper middle income,361890799.4
Uruguay,1947000
United States,92564000
Uzbekistan,
St. Vincent and the Grenadines,
"Venezuela, RB",
British Virgin Islands,
Virgin Islands (U.S.),
Vietnam,
Vanuatu,29000
World,1563555558
Samoa,64000
Kosovo,
"Yemen, Rep.",
South Africa,
Zambia,
Zimbabwe,2987000
